file_name,gt_label_num,pred_label_num,IoU,Dice
ooi_optasense_north_c2_full_20211102_220401.txt,8,19,0.07849146652220895,0.14555788146441045
ooi_optasense_north_c2_full_20211102_220401.txt,9,11,0.44023016260015596,0.6113330688830675
ooi_optasense_north_c2_full_20211102_220401.txt,10,0,0.7163855720778789,0.8347606548691954
ooi_optasense_north_c2_full_20211102_220401.txt,None,1,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,2,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,5,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,9,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,10,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,13,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,14,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,16,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,17,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,18,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,20,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,21,0,0
ooi_optasense_north_c2_full_20211102_220401.txt,None,23,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,0,8,0.6680364452381686,0.8009854306783855
ooi_optasense_north_c2_full_20211102_215601.txt,1,12,0.836649624493418,0.911060676283514
ooi_optasense_north_c2_full_20211102_215601.txt,2,6,0.2541008178442716,0.40523188284185374
ooi_optasense_north_c2_full_20211102_215601.txt,3,9,0.5648946307782928,0.7219586797321235
ooi_optasense_north_c2_full_20211102_215601.txt,4,1,0.43285203032486685,0.6041824573144933
ooi_optasense_north_c2_full_20211102_215601.txt,5,2,0.8033704628540381,0.8909655330415158
ooi_optasense_north_c2_full_20211102_215601.txt,6,7,0.7740793750810228,0.8726547255481963
ooi_optasense_north_c2_full_20211102_215601.txt,7,14,0.7320480260573272,0.8452976072767369
ooi_optasense_north_c2_full_20211102_215601.txt,None,0,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,3,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,4,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,5,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,10,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,11,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,13,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,15,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,16,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,17,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,18,0,0
ooi_optasense_north_c2_full_20211102_215601.txt,None,19,0,0
